,userId,condition_vote,order,topic_1,topic_1_val_vote,topic_2,topic_2_val_vote,vote_diff,diff_dir_vote,condition_donation,topic_1_val_donation,topic_2_val_donation,donation_diff,diff_dir_donation,diff_dir_aligned,diff_dir_aligned_int
89,5e62c4156ffda4487364f751,qv324,increase,international,6,faith,0,6,gt0,qv36,0,0,0,eq0,True,1
90,5e62c4156ffda4487364f751,qv36,first,international,0,veteran,1,-1,lt0,qv36,0,0,0,eq0,True,1
91,5e62c4156ffda4487364f751,qv324,increase,international,6,veteran,4,2,gt0,qv36,0,0,0,eq0,True,1
92,5e62c4156ffda4487364f751,qv36,first,pets,2,art,0,2,gt0,qv36,0,0,0,eq0,True,1
93,5e62c4156ffda4487364f751,qv324,increase,pets,5,art,2,3,gt0,qv36,0,0,0,eq0,True,1
94,5e62c4156ffda4487364f751,qv36,first,pets,2,education,0,2,gt0,qv36,0,0,0,eq0,True,1
95,5e62c4156ffda4487364f751,qv324,increase,pets,5,education,3,2,gt0,qv36,0,0,0,eq0,True,1
96,5e62c4156ffda4487364f751,qv36,first,pets,2,environment,5,-3,lt0,qv36,0,5,-5,lt0,True,1
97,5e62c4156ffda4487364f751,qv324,increase,pets,5,environment,13,-8,lt0,qv36,0,5,-5,lt0,True,1
98,5e62c4156ffda4487364f751,qv36,first,pets,2,faith,0,2,gt0,qv36,0,0,0,eq0,True,1
99,5e62c4156ffda4487364f751,qv324,increase,pets,5,faith,0,5,gt0,qv36,0,0,0,eq0,True,1
100,5e62c4156ffda4487364f751,qv36,first,pets,2,health,1,1,gt0,qv36,0,0,0,eq0,True,1
101,5e62c4156ffda4487364f751,qv324,increase,pets,5,health,6,-1,lt0,qv36,0,0,0,eq0,True,1
102,5e62c4156ffda4487364f751,qv36,first,pets,2,human,2,0,eq0,qv36,0,0,0,eq0,True,1
103,5e62c4156ffda4487364f751,qv324,increase,pets,5,human,5,0,eq0,qv36,0,0,0,eq0,True,1
104,5e62c4156ffda4487364f751,qv36,first,pets,2,international,0,2,gt0,qv36,0,0,0,eq0,True,1
105,5e62c4156ffda4487364f751,qv324,increase,pets,5,international,6,-1,lt0,qv36,0,0,0,eq0,True,1
106,5e62c4156ffda4487364f751,qv36,first,pets,2,veteran,1,1,gt0,qv36,0,0,0,eq0,True,1
107,5e62c4156ffda4487364f751,qv324,increase,pets,5,veteran,4,1,gt0,qv36,0,0,0,eq0,True,1
108,5e62c99c6ffda4487364f757,qv108,decrease,art,1,education,2,-1,lt0,qv108,0,0,0,eq0,True,1
109,5e62c99c6ffda4487364f757,qv324,first,art,3,education,3,0,eq0,qv108,0,0,0,eq0,True,1
110,5e62c99c6ffda4487364f757,qv108,decrease,art,1,environment,2,-1,lt0,qv108,0,0,0,eq0,True,1
111,5e62c99c6ffda4487364f757,qv324,first,art,3,environment,2,1,gt0,qv108,0,0,0,eq0,True,1
112,5e62c99c6ffda4487364f757,qv108,decrease,art,1,faith,2,-1,lt0,qv108,0,5,-5,lt0,True,1
113,5e62c99c6ffda4487364f757,qv324,first,art,3,faith,3,0,eq0,qv108,0,5,-5,lt0,False,0
114,5e62c99c6ffda4487364f757,qv108,decrease,art,1,health,2,-1,lt0,qv108,0,0,0,eq0,True,1
115,5e62c99c6ffda4487364f757,qv324,first,art,3,health,3,0,eq0,qv108,0,0,0,eq0,True,1
116,5e62c99c6ffda4487364f757,qv108,decrease,art,1,human,-8,9,gt0,qv108,0,0,0,eq0,True,1
117,5e62c99c6ffda4487364f757,qv324,first,art,3,human,-12,15,gt0,qv108,0,0,0,eq0,True,1
118,5e62c99c6ffda4487364f757,qv108,decrease,art,1,international,-4,5,gt0,qv108,0,0,0,eq0,True,1
119,5e62c99c6ffda4487364f757,qv324,first,art,3,international,-5,8,gt0,qv108,0,0,0,eq0,True,1
120,5e62c99c6ffda4487364f757,qv108,decrease,art,1,veteran,2,-1,lt0,qv108,0,5,-5,lt0,True,1
121,5e62c99c6ffda4487364f757,qv324,first,art,3,veteran,4,-1,lt0,qv108,0,5,-5,lt0,True,1
122,5e62c99c6ffda4487364f757,qv108,decrease,education,2,environment,2,0,eq0,qv108,0,0,0,eq0,True,1
123,5e62c99c6ffda4487364f757,qv324,first,education,3,environment,2,1,gt0,qv108,0,0,0,eq0,True,1
124,5e62c99c6ffda4487364f757,qv108,decrease,education,2,faith,2,0,eq0,qv108,0,5,-5,lt0,False,0
125,5e62c99c6ffda4487364f757,qv324,first,education,3,faith,3,0,eq0,qv108,0,5,-5,lt0,False,0
126,5e62c99c6ffda4487364f757,qv108,decrease,education,2,health,2,0,eq0,qv108,0,0,0,eq0,True,1
127,5e62c99c6ffda4487364f757,qv324,first,education,3,health,3,0,eq0,qv108,0,0,0,eq0,True,1
